Age,Education,Department,Job_Title,Experience_Years,Num_Skills,Skills,Salary_USD,Salary_Label
23,Master's,Sales,Account Manager,1,6,"Python, SQL, JavaScript, Data Analysis, Project Management, Power BI",66364.76,Low
22,Bachelor's,Finance,CFO,1,5,"Project Management, Leadership, Cloud (AWS/GCP), Java, Data Analysis",55943.96,Low
25,Bachelor's,Operations,Operations Manager,4,2,"Power BI, Communication",59233.54,Low
22,Bachelor's,HR,Recruiter,0,7,"Machine Learning, Project Management, Java, Excel, Cloud (AWS/GCP), JavaScript, Communication",39691.22,Low
26,Bachelor's,Finance,Financial Analyst,3,5,"Machine Learning, Python, JavaScript, Data Analysis, Leadership",62592.67,Low
23,High School,IT,DevOps Engineer,3,2,"Data Analysis, SQL",42419.34,Low
37,PhD,IT,Software Engineer,11,5,"Power BI, Leadership, Project Management, Excel, Data Analysis",108614.76,High
28,Master's,Marketing,SEO Analyst,4,7,"Communication, Java, SQL, JavaScript, Data Analysis, Python, Power BI",70851.05,High
22,Bachelor's,Data Science,ML Engineer,1,6,"Power BI, Communication, Python, Excel, Java, Project Management",60747.36,Low
24,Master's,Sales,Sales Head,2,2,"Power BI, Communication",67006.29,Low
38,Bachelor's,Finance,CFO,17,7,"Machine Learning, Cloud (AWS/GCP), Project Management, Java, Communication, SQL, Leadership",89419.75,High
43,Bachelor's,IT,QA Engineer,22,5,"Data Analysis, Leadership, Communication, Power BI, SQL",101559.31,High
23,High School,HR,Training Specialist,2,2,"Leadership, Excel",47652.84,Low
32,Master's,Marketing,SEO Analyst,9,5,"JavaScript, Leadership, Java, Machine Learning, Communication",87988.72,High
25,Master's,Sales,Sales Head,1,5,"Machine Learning, Power BI, Java, Cloud (AWS/GCP), Project Management",53104.39,Low
27,Master's,Marketing,Marketing Manager,3,2,"Java, Communication",50936.35,Low
22,Bachelor's,Data Science,Data Scientist,2,3,"SQL, Project Management, Leadership",66573.92,Low
23,Bachelor's,Operations,Operations Manager,1,7,"Cloud (AWS/GCP), Data Analysis, Python, Communication, Java, SQL, Excel",77488.76,High
25,Bachelor's,Data Science,Data Scientist,4,5,"SQL, Cloud (AWS/GCP), Power BI, Excel, Communication",72191.19,High
24,Bachelor's,HR,Recruiter,2,2,"Python, Java",46405.04,Low
33,Bachelor's,Sales,Sales Executive,12,2,"Data Analysis, Leadership",68136.39,Low
30,Bachelor's,Sales,Sales Executive,9,2,"Java, Data Analysis",68062.77,Low
25,Master's,Operations,Supply Chain Analyst,0,5,"SQL, Machine Learning, Power BI, Cloud (AWS/GCP), Project Management",59864.57,Low
22,Master's,Sales,Account Manager,0,6,"Excel, Java, JavaScript, Project Management, Data Analysis, Leadership",56787.2,Low
21,High School,Data Science,Data Scientist,3,5,"Power BI, Machine Learning, Project Management, Data Analysis, Excel",58018.37,Low
23,Master's,Operations,Supply Chain Analyst,0,3,"Cloud (AWS/GCP), SQL, Python",69710.81,Low
23,Bachelor's,HR,Recruiter,0,3,"Machine Learning, Excel, Communication",42514.51,Low
29,Master's,Data Science,Data Analyst,5,3,"Cloud (AWS/GCP), JavaScript, Java",87047.48,High
33,Master's,Data Science,ML Engineer,10,3,"Power BI, Java, JavaScript",83594.15,High
30,Bachelor's,Sales,Sales Head,7,6,"Cloud (AWS/GCP), Machine Learning, JavaScript, SQL, Communication, Python",60902.79,Low
22,Master's,IT,Software Engineer,0,2,"Leadership, SQL",72443.83,High
23,Bachelor's,Operations,Operations Manager,0,5,"Java, Python, SQL, Communication, Power BI",47668.03,Low
23,Bachelor's,Data Science,Data Analyst,2,4,"Machine Learning, Excel, Leadership, SQL",77509.33,High
28,Bachelor's,Sales,Sales Executive,8,5,"Java, Communication, Data Analysis, Leadership, Machine Learning",71736.66,High
26,PhD,Operations,Supply Chain Analyst,2,2,"Excel, Power BI",63845.27,Low
25,Bachelor's,Marketing,Marketing Manager,4,6,"Leadership, Project Management, Excel, Machine Learning, JavaScript, Python",64655.67,Low
22,Bachelor's,Sales,Sales Head,0,2,"Cloud (AWS/GCP), SQL",44196.08,Low
25,Bachelor's,IT,DevOps Engineer,2,2,"Communication, Project Management",58983.99,Low
25,Bachelor's,HR,Training Specialist,2,3,"JavaScript, Machine Learning, Python",50234.05,Low
27,Bachelor's,IT,Software Engineer,5,6,"Leadership, Excel, Data Analysis, Cloud (AWS/GCP), Communication, Python",83509.37,High
20,High School,Data Science,Data Analyst,2,2,"Power BI, Project Management",49749.46,Low
40,PhD,Data Science,Data Scientist,15,6,"JavaScript, Data Analysis, Project Management, Excel, Python, Machine Learning",118624.99,High
23,Bachelor's,Marketing,Content Writer,1,2,"Machine Learning, Project Management",45859.78,Low
28,High School,Data Science,ML Engineer,9,2,"Python, Project Management",74725.96,High
22,Master's,Operations,Supply Chain Analyst,0,3,"Java, Communication, Leadership",56382.25,Low
21,High School,HR,Training Specialist,0,7,"Leadership, JavaScript, Python, Project Management, Data Analysis, Communication, Power BI",42871.24,Low
23,Master's,Marketing,Marketing Manager,1,3,"Leadership, Cloud (AWS/GCP), Python",46527.29,Low
23,Bachelor's,Finance,Financial Analyst,2,4,"SQL, Data Analysis, Python, Java",54467.74,Low
44,Master's,IT,QA Engineer,20,7,"Leadership, Python, Project Management, Data Analysis, Machine Learning, JavaScript, Excel",123274.62,High
24,Bachelor's,HR,HR Manager,3,4,"Leadership, Power BI, Communication, Project Management",56708.52,Low
23,Bachelor's,IT,Software Engineer,3,3,"Java, Power BI, Project Management",70165.86,High
25,Bachelor's,Finance,Accountant,4,7,"Communication, Cloud (AWS/GCP), Machine Learning, SQL, Data Analysis, Power BI, Leadership",55022.81,Low
31,High School,Sales,Account Manager,11,4,"Python, Communication, Project Management, Excel",62429.68,Low
37,Master's,Operations,Logistics Head,15,4,"Excel, Cloud (AWS/GCP), Python, Leadership",99111.29,High
25,Master's,IT,Software Engineer,2,6,"Excel, Project Management, Power BI, Communication, Java, Cloud (AWS/GCP)",68339.35,Low
30,Master's,Sales,Sales Head,8,4,"Project Management, Excel, Data Analysis, SQL",81087.25,High
24,Bachelor's,IT,QA Engineer,2,2,"SQL, Communication",60938.92,Low
26,Master's,IT,DevOps Engineer,2,7,"SQL, Project Management, Data Analysis, Java, Leadership, Communication, Power BI",76447.65,High
21,High School,Operations,Operations Manager,1,4,"Power BI, Leadership, Excel, Python",32825.11,Low
22,Master's,Data Science,Data Analyst,0,5,"Project Management, Cloud (AWS/GCP), Data Analysis, Power BI, Excel",64701.25,Low
25,Bachelor's,Data Science,ML Engineer,3,5,"Cloud (AWS/GCP), JavaScript, Python, Java, Excel",68364.75,Low
37,Bachelor's,Sales,Sales Head,17,5,"Java, Project Management, Leadership, JavaScript, Machine Learning",97684.52,High
27,Master's,Finance,Accountant,2,2,"Data Analysis, Cloud (AWS/GCP)",61212.59,Low
25,Bachelor's,Operations,Supply Chain Analyst,5,6,"Cloud (AWS/GCP), JavaScript, Communication, Machine Learning, Power BI, SQL",69115.06,Low
27,PhD,Marketing,SEO Analyst,3,4,"Project Management, Excel, Cloud (AWS/GCP), Power BI",69244.77,Low
23,Master's,Finance,Accountant,1,5,"Cloud (AWS/GCP), SQL, Power BI, Machine Learning, Leadership",61234.94,Low
29,Bachelor's,Sales,Account Manager,9,7,"Leadership, Cloud (AWS/GCP), Data Analysis, Java, Excel, Communication, JavaScript",86733.74,High
31,Bachelor's,HR,HR Manager,11,4,"JavaScript, Java, Cloud (AWS/GCP), Leadership",71356.61,High
